Date,Open,High,Low,Close,Volume USD
2019-12-21 11-PM,7143.84,7144.32,7128.3,7143.01,833768.6
2019-12-21 10-PM,7136.12,7143.84,7130,7143.84,687590.28
2019-12-21 09-PM,7156.32,7177.5,7121.36,7136.12,1883114.92
2019-12-21 08-PM,7147.47,7158.22,7144.74,7156.32,1625399.31
2019-12-21 07-PM,7153.06,7153.06,7140.32,7147.47,620073.68
2019-12-21 06-PM,7151,7154.25,7147.21,7153.06,651054.7
2019-12-21 05-PM,7143.83,7154.45,7143.83,7151,871712.1
2019-12-21 04-PM,7139,7143.84,7131.93,7143.83,1001143.22
2019-12-21 03-PM,7131.52,7139.63,7128.76,7139,830849.47
2019-12-21 02-PM,7129.18,7140,7123.37,7131.52,620044.87
2019-12-21 01-PM,7147.51,7147.51,7124.91,7129.18,1850751.69
2019-12-21 12-PM,7151.8,7151.81,7141.74,7147.51,1151507.52
2019-12-21 11-AM,7139.51,7157.74,7137.94,7151.8,628016.32
2019-12-21 10-AM,7118.79,7139.51,7118.79,7139.51,1207081.89
2019-12-21 09-AM,7144,7144,7099.57,7118.79,3035365.87
2019-12-21 08-AM,7136.9,7144,7136.08,7144,182435.44
2019-12-21 07-AM,7143.72,7145,7132.11,7136.9,889530.98
2019-12-21 06-AM,7163.37,7163.37,7143.64,7143.72,714991.52
2019-12-21 05-AM,7153.1,7166.3,7148.23,7163.37,576908.81
2019-12-21 04-AM,7164.69,7183.56,7151.35,7153.1,1180648.73
2019-12-21 03-AM,7175.64,7175.64,7163.52,7164.69,515505.01
2019-12-21 02-AM,7165.57,7179.7,7164.56,7175.64,610418.23
2019-12-21 01-AM,7171.05,7176.6,7155.01,7165.57,819444.6
2019-12-21 12-AM,7190,7190,7162,7171.05,1200367.17
2019-12-20 11-PM,7188.03,7190,7175.51,7190,854610.96
2019-12-20 10-PM,7197,7205.17,7177,7188.03,1724112.18
2019-12-20 09-PM,7207.35,7207.35,7187.05,7197,1883795.86
2019-12-20 08-PM,7189.1,7220,7186.58,7207.35,2382902.17
2019-12-20 07-PM,7190.99,7206.44,7182.59,7189.1,1566710.96
2019-12-20 06-PM,7176.66,7208.86,7168.44,7190.99,3515834.37
2019-12-20 05-PM,7160.9,7189.55,7145.43,7176.66,2434572
2019-12-20 04-PM,7150.96,7164,7126.64,7160.9,2970533.34
2019-12-20 03-PM,7197.72,7216.04,7140,7150.96,2340554.64
2019-12-20 02-PM,7180,7200,7150,7197.72,2582550.11
2019-12-20 01-PM,7182.87,7185.26,7162.82,7180,1377897.17
2019-12-20 12-PM,7142.01,7190.97,7132.39,7182.87,3436728.17
2019-12-20 11-AM,7136.15,7153,7129.85,7142.01,802512.82
2019-12-20 10-AM,7126.73,7140.49,7123,7136.15,983550.01
2019-12-20 09-AM,7128.16,7149.8,7122.26,7126.73,664738.76
2019-12-20 08-AM,7141.6,7168.48,7093.75,7128.16,1587360.33
2019-12-20 07-AM,7106.34,7152,7106.3,7141.6,1137490.23
2019-12-20 06-AM,7085.9,7122.49,7073.66,7106.34,1560040.51
2019-12-20 05-AM,7120.79,7131.83,7085,7085.9,2389031.84
2019-12-20 04-AM,7125.53,7134.15,7120,7120.79,829898.71
2019-12-20 03-AM,7118.19,7135.28,7115,7125.53,741535.02
2019-12-20 02-AM,7097.48,7131.95,7092.07,7118.19,1311338.64
2019-12-20 01-AM,7118,7125.05,7088.77,7097.48,1506538.16
2019-12-20 12-AM,7149.12,7156.01,7080,7118,2477412.17
2019-12-19 11-PM,7152.8,7159.73,7140,7149.12,1602455.15
2019-12-19 10-PM,7154,7159.81,7127.44,7152.8,1707292.48
2019-12-19 09-PM,7148.05,7166.25,7130,7154,1399860.15
2019-12-19 08-PM,7177.01,7180,7131.88,7148.05,1605266.57
2019-12-19 07-PM,7152.06,7179,7140,7177.01,1537110.38
2019-12-19 06-PM,7125.52,7164.76,7113.34,7152.06,1904400.32
2019-12-19 05-PM,7131.05,7150,7107,7125.52,2755483.92
2019-12-19 04-PM,7136.01,7167.61,7115,7131.05,3005610.14
2019-12-19 03-PM,7117.42,7170.34,7110.02,7136.01,2410003.21
2019-12-19 02-PM,7079.13,7118.71,7067,7117.42,3002827.37
