Date,Open,High,Low,Close,Volume USD
2019-12-21 11-PM,127.29,127.37,126.91,127.09,198261.73
2019-12-21 10-PM,126.96,127.36,126.9,127.29,101881.14
2019-12-21 09-PM,127.13,127.6,126.85,126.96,184429.88
2019-12-21 08-PM,127.13,127.25,126.92,127.13,333177.27
2019-12-21 07-PM,127.07,127.17,126.85,127.13,142678.72
2019-12-21 06-PM,127.21,127.21,127.06,127.07,65823.15
2019-12-21 05-PM,127.27,127.42,127.07,127.21,110636.9
2019-12-21 04-PM,127.29,127.61,127.11,127.27,147103.7
2019-12-21 03-PM,127.2,127.81,127.14,127.29,84062.7
2019-12-21 02-PM,127.09,127.47,126.82,127.2,79397.53
2019-12-21 01-PM,127.63,127.63,126.83,127.09,81592.85
2019-12-21 12-PM,127.57,127.63,127.34,127.63,63917.69
2019-12-21 11-AM,127.11,127.86,126.95,127.57,65925.46
2019-12-21 10-AM,126.66,127.18,126.66,127.11,53311.23
2019-12-21 09-AM,127.34,127.34,126.63,126.66,125825.05
2019-12-21 08-AM,127.18,127.34,127.17,127.34,88160.86
2019-12-21 07-AM,127.33,127.64,127.01,127.18,244220.14
2019-12-21 06-AM,127.47,127.6,127.3,127.33,95067.4
2019-12-21 05-AM,127.61,127.76,127.45,127.47,135664.71
2019-12-21 04-AM,127.45,127.95,127.45,127.61,88456.84
2019-12-21 03-AM,127.3,127.57,127.19,127.45,110691.66
2019-12-21 02-AM,127.36,127.61,127.25,127.3,79292.64
2019-12-21 01-AM,127.66,127.89,127.16,127.36,135900.13
2019-12-21 12-AM,128.37,128.45,127.37,127.66,488512.57
2019-12-20 11-PM,128.21,128.38,127.92,128.37,120524.76
2019-12-20 10-PM,128.15,128.36,127.8,128.21,189597.9
2019-12-20 09-PM,128.44,128.49,128.06,128.15,165106.39
2019-12-20 08-PM,128.1,128.5,128,128.44,112826.08
2019-12-20 07-PM,128.05,128.23,127.88,128.1,199424.8
2019-12-20 06-PM,127.99,128.41,127.67,128.05,183769.06
2019-12-20 05-PM,127.7,128.28,127.44,127.99,361532.99
2019-12-20 04-PM,127.35,128,126.9,127.7,223425.5
2019-12-20 03-PM,128.66,129.32,126.6,127.35,729057.61
2019-12-20 02-PM,128.13,128.75,127.12,128.66,282752.19
2019-12-20 01-PM,128.29,128.3,127.94,128.13,124553.62
2019-12-20 12-PM,127.25,128.47,127.21,128.29,379765.92
2019-12-20 11-AM,126.8,127.25,126.79,127.25,157257.5
2019-12-20 10-AM,126.78,127.15,126.68,126.8,80158.21
2019-12-20 09-AM,126.95,127.36,126.78,126.78,80347.5
2019-12-20 08-AM,127.18,127.27,126.48,126.95,175209.58
2019-12-20 07-AM,126.34,127.26,126.34,127.18,143699.29
2019-12-20 06-AM,125.94,126.62,125.93,126.34,130066.49
2019-12-20 05-AM,126.7,126.85,125.71,125.94,676496.18
2019-12-20 04-AM,126.83,126.96,126.54,126.7,93632.14
2019-12-20 03-AM,126.79,127.07,126.77,126.83,116239.29
2019-12-20 02-AM,126.99,127.2,126.77,126.79,140055.15
2019-12-20 01-AM,127.35,127.51,126.28,126.99,190527.59
2019-12-20 12-AM,128.18,128.64,126.25,127.35,599309.15
2019-12-19 11-PM,127.39,128.34,127.14,128.18,289917.46
2019-12-19 10-PM,126.57,127.59,126.1,127.39,382542.33
2019-12-19 09-PM,126.7,127.05,125.93,126.57,454210.51
2019-12-19 08-PM,127.57,127.57,126.32,126.7,596764.52
2019-12-19 07-PM,127.44,128.27,127.15,127.57,270292.99
2019-12-19 06-PM,126.51,127.93,126.39,127.44,262099.28
2019-12-19 05-PM,126.87,127.2,126.38,126.51,307423.91
2019-12-19 04-PM,127.26,128.6,126.65,126.87,713980.39
2019-12-19 03-PM,126.79,127.75,126.45,127.26,402875.1
2019-12-19 02-PM,126.19,126.79,125.94,126.79,239690.75
2019-12-19 01-PM,126.8,127.8,125.68,126.19,880684.79
2019-12-19 12-PM,125.96,127.44,125.71,126.8,310933.86
2019-12-19 11-AM,127.64,127.86,125.87,125.96,239752.02
2019-12-19 10-AM,126.8,128.41,126.8,127.64,188565.5
2019-12-19 09-AM,127.13,127.37,125.7,126.8,934439.27
2019-12-19 08-AM,127.51,127.65,127.13,127.13,176551.52
2019-12-19 07-AM,127.54,128.08,127.36,127.51,348545.81
2019-12-19 06-AM,128.35,128.35,127.53,127.54,326627.24
2019-12-19 05-AM,128.39,128.68,127.61,128.35,386666.13
2019-12-19 04-AM,129.23,129.23,128.04,128.39,166689.6
2019-12-19 03-AM,128.66,129.27,128.28,129.23,242606.32
2019-12-19 02-AM,128.42,129.37,127.81,128.66,446690.98
2019-12-19 01-AM,130.82,131.05,126.77,128.42,2552781.65
2019-12-19 12-AM,132.89,134.11,130.51,130.82,881399.22
2019-12-18 11-PM,134.07,134.27,131.76,132.89,1143650.07
2019-12-18 10-PM,130.48,134.81,130.48,134.07,1548729.87
2019-12-18 09-PM,129.87,133.59,129.55,130.48,1805903.78
2019-12-18 08-PM,128.86,132.8,128.51,129.87,2739316.19
2019-12-18 07-PM,127.44,129.37,127.33,128.86,780999.13
2019-12-18 06-PM,127.27,127.81,126.61,127.44,531845.33
2019-12-18 05-PM,128.54,129.65,126.93,127.27,1441732.91
2019-12-18 04-PM,127.44,128.94,125.83,128.54,1135200.79
2019-12-18 03-PM,123.3,128.57,123.3,127.44,2073956.87
2019-12-18 02-PM,122.17,124.96,121.9,123.3,1158601.81
2019-12-18 01-PM,120.63,122.46,116.25,122.17,4079385.15
2019-12-18 12-PM,121.5,121.88,119.6,120.63,1239993.23
2019-12-18 11-AM,123.3,123.31,121.49,121.5,570822.92
2019-12-18 10-AM,122.06,123.75,121.99,123.3,622444.83
2019-12-18 09-AM,121.68,122.49,121.36,122.06,252734.55
2019-12-18 08-AM,121.62,122.52,121.32,121.68,314028.35
2019-12-18 07-AM,121.73,121.76,120.54,121.62,415808.66
2019-12-18 06-AM,123.11,123.56,121.46,121.73,310770.2
2019-12-18 05-AM,123.61,123.63,122.81,123.11,312939.16
2019-12-18 04-AM,123.83,124.27,123.12,123.61,349057.64
2019-12-18 03-AM,124.59,125.11,123.65,123.83,288416.34
2019-12-18 02-AM,124.35,125.39,123.94,124.59,475271.11
2019-12-18 01-AM,124.26,125.45,124.03,124.35,721512.23
2019-12-18 12-AM,121.83,124.49,121.2,124.26,1112275.72
2019-12-17 11-PM,120.66,122.58,119.5,121.83,1489805.63
2019-12-17 10-PM,122,122.7,120.15,120.66,880495.17
2019-12-17 09-PM,120.99,122,120.78,122,1573262.58
2019-12-17 08-PM,122.76,123,120.3,120.99,3748892.79
2019-12-17 07-PM,126.78,127,122.35,122.76,3602936.54
2019-12-17 06-PM,127.43,127.5,126.39,126.78,686226.48
2019-12-17 05-PM,128.13,128.31,126.33,127.43,1390406.73
2019-12-17 04-PM,127.16,128.3,125.7,128.13,1810612.45
2019-12-17 03-PM,128.75,128.81,126.56,127.16,1035365.15
2019-12-17 02-PM,130.3,130.34,126.58,128.75,2154625.05
2019-12-17 01-PM,131.35,131.66,129.52,130.3,990676.79
2019-12-17 12-PM,131.94,132.24,131.32,131.35,209099.79
2019-12-17 11-AM,131.67,131.94,131.2,131.94,364032.32
2019-12-17 10-AM,131.32,131.97,131.32,131.67,80867.82
2019-12-17 09-AM,131.12,131.38,130.92,131.32,139275.92
2019-12-17 08-AM,130.84,131.58,130.65,131.12,297563.71
2019-12-17 07-AM,130.79,131.11,130.65,130.84,320297.73
2019-12-17 06-AM,131.49,131.49,130.78,130.79,832141.31
2019-12-17 05-AM,131.43,131.89,131.27,131.49,156865.52
2019-12-17 04-AM,131.76,131.78,130.91,131.43,231311.63
2019-12-17 03-AM,132.24,132.26,130.67,131.76,528959.61
2019-12-17 02-AM,132.3,132.66,132.08,132.24,257759.86
2019-12-17 01-AM,132.28,132.39,132.2,132.3,292205
2019-12-17 12-AM,132.36,132.57,132.11,132.28,308548.11
2019-12-16 11-PM,132.22,133.04,131.05,132.36,829770.16
2019-12-16 10-PM,131.53,132.53,131.5,132.22,610769.8
2019-12-16 09-PM,131.45,132.07,131.27,131.53,718961.79
2019-12-16 08-PM,131.59,132.5,130.68,131.45,1671526.77
2019-12-16 07-PM,133.42,133.68,130.25,131.59,1959705.51
2019-12-16 06-PM,140.87,140.87,129.03,133.42,5487419.52
2019-12-16 05-PM,140.81,140.91,140.76,140.87,295265.7
2019-12-16 04-PM,140.7,140.87,140.66,140.81,193401.76
2019-12-16 03-PM,141.47,141.52,140.45,140.7,236599.17
2019-12-16 02-PM,141.62,141.93,141.3,141.47,318484.19
2019-12-16 01-PM,141.05,141.64,140.92,141.62,151303.23
2019-12-16 12-PM,140.95,141.15,140.3,141.05,153627.11
2019-12-16 11-AM,140.6,141.18,140.15,140.95,159772.52
2019-12-16 10-AM,140.31,140.9,140.17,140.6,173198.59
2019-12-16 09-AM,140.68,140.78,140.19,140.31,202884.26
2019-12-16 08-AM,140.89,140.99,140.11,140.68,149949.35
2019-12-16 07-AM,141.5,141.61,140.78,140.89,85366.47
2019-12-16 06-AM,140.99,141.53,140.86,141.5,121644.52
2019-12-16 05-AM,141.1,141.18,140.98,140.99,158465.98
2019-12-16 04-AM,141.16,141.17,140.58,141.1,255967.81
