Date,Open,High,Low,Close,Volume USD
2019-12-21 11-PM,39.72,39.83,39.69,39.73,206018.85
2019-12-21 10-PM,39.83,39.9,39.68,39.72,59518.17
2019-12-21 09-PM,39.88,40.05,39.7,39.83,61740.43
2019-12-21 08-PM,39.9,39.9,39.76,39.88,32971.65
2019-12-21 07-PM,39.72,39.91,39.61,39.9,39266.87
2019-12-21 06-PM,39.82,39.83,39.71,39.72,28283.6
2019-12-21 05-PM,39.88,39.93,39.79,39.82,91102.69
2019-12-21 04-PM,39.83,39.91,39.76,39.88,65083.66
2019-12-21 03-PM,39.79,39.92,39.7,39.83,32002.01
2019-12-21 02-PM,39.63,39.83,39.53,39.79,30361.64
2019-12-21 01-PM,39.95,39.96,39.52,39.63,83659.7
2019-12-21 12-PM,39.94,39.95,39.88,39.95,7711.51
2019-12-21 11-AM,39.82,39.95,39.72,39.94,30578.78
2019-12-21 10-AM,39.64,39.84,39.61,39.82,48632.03
2019-12-21 09-AM,39.89,39.89,39.61,39.64,34778
2019-12-21 08-AM,39.87,39.92,39.78,39.89,59558.96
2019-12-21 07-AM,39.84,39.93,39.72,39.87,23798.89
2019-12-21 06-AM,39.9,40.01,39.78,39.84,74215.1
2019-12-21 05-AM,39.83,39.99,39.75,39.9,75023.3
2019-12-21 04-AM,39.96,40.02,39.76,39.83,1086898.44
2019-12-21 03-AM,39.94,40.05,39.93,39.96,46484.97
2019-12-21 02-AM,39.82,40,39.82,39.94,39779.99
2019-12-21 01-AM,39.97,40.02,39.72,39.82,121103.33
2019-12-21 12-AM,40.13,40.22,39.93,39.97,88236.8
2019-12-20 11-PM,40.28,40.32,40.05,40.13,111242.57
2019-12-20 10-PM,40.24,40.3,40.1,40.28,94613.49
2019-12-20 09-PM,40.2,40.25,40.01,40.24,65767.01
2019-12-20 08-PM,39.97,40.24,39.95,40.2,68778.52
2019-12-20 07-PM,40.04,40.14,39.89,39.97,71363.01
2019-12-20 06-PM,40.11,40.27,39.91,40.04,173095.58
