Unnamed: 0,Unnamed: 0_x,timestamp,datetime,index,bitcoin-transactions,size-btc,sentbyaddress-btc,bitcoin-difficulty,bitcoin-hashrate,bitcoin-price,bitcoin-mining_profitability,sentinusd-btc,bitcoin-transactionfees,bitcoin-median_transaction_fee,bitcoin-confirmationtime,bitcoin-marketcap,transactionvalue-btc,mediantransactionvalue-btc,tweets-btc,google_trends-btc,activeaddresses-btc,top100cap-btc,fee_to_reward-bt,Unnamed: 0_y,Open,High,Low,Close,Volume BTC,Volume USD
0,3089,1498003200,2017-06-21,3089,280063,982975,430351,711697198174,4.793357784458E+018,2707,1.249,9808732986,4.472,2.372,10.286,44361471259,35391,514.696,40215,41.917,616138,18.126,20.92,949,2705.1,2764.96,2570,2644.97,6435.05,17260582.41
1,3090,1498089600,2017-06-22,3090,269546,992495,410959,711697198174,4.7776452868044E+018,2677,1.224,8740443532,4.44,2.582,10.36,43873283729,32427,477.977,37617,41.917,609732,18.116,20.475,948,2644.97,2735.31,2588.55,2684.99,4814.94,12835957.05
2,3091,1498176000,2017-06-23,3091,259778,948797,387556,711697198174,5.636145137231E+018,2710,1.124,6502284152,3.535,2.218,9,44417204342,25030,383.101,42760,40.942,608551,18.085,14.5,947,2684.99,2725,2660.11,2668,3465.72,9350270.21
3,3092,1498262400,2017-06-24,3092,226981,949756,356744,711697198174,5.0844763683852E+018,2654,1.113,5978325867,3.592,2.286,9.863,43515995716,26338,399.656,40216,38.018,562893,18.096,14.416,946,2668,2701.79,2500,2547.43,4386.08,11383430.44
4,3093,1498348800,2017-06-25,3093,180597,927642,292693,711697198174,5.1202268546279E+018,2567,0.895,4792079812,3.677,2.111,11.803,42087743668,26535,441.411,37618,35.093,455780,18.134,14.511,945,2547.43,2601.53,2408,2490.13,5289.42,13309534.46
5,3094,1498435200,2017-06-26,3094,261764,987141,407713,711697198174,4.4799497939838E+018,2472,1.185,9338181351,3.542,2.171,10.141,40535475897,36022,488.04,42761,44.841,587642,18.129,17.452,944,2490.13,2535.78,2210,2405,9794.36,23546657.57
6,3095,1498521600,2017-06-27,3095,259606,989866,435835,711697198174,4.9245066391263E+018,2409,0.981,6670825104,3.415,2.117,10.992,39515260814,25784,385.172,40217,48.74,585419,18.053,18.353,943,2405,2540.05,2257.01,2538.01,9157.09,21861457.64
7,3096,1498608000,2017-06-28,3096,279654,972504,435927,711697198174,5.0936446390741E+018,2524,1.164,7123554064,3.483,2.218,9.172,41402209041,25473,452.154,37619,47.766,632364,18.022,16.439,942,2538.01,2600,2444.44,2554.02,7932.07,20069959.48
8,3097,1498694400,2017-06-29,3097,230934,966754,378011,711697198174,4.9977506307755E+018,2545,0.937,8104696773,3.762,2.237,12,41739305928,35095,571.151,42762,40.942,519741,17.92,18.548,941,2554.02,2580,2498,2526.07,5460.02,13914613.03
9,3098,1498780800,2017-06-30,3098,267206,956231,415868,711697198174,4.739194405088E+018,2513,1.21,8727305414,3.359,2.147,9.351,41222833121,32823,375.665,40218,33.143,608065,17.894,15.658,940,2526.07,2547.95,2419.24,2445,5521.11,13826141.38
10,3099,1498867200,2017-07-01,3099,221692,882650,334799,711697198174,5.7662792641923E+018,2447,0.978,5664015268,2.818,1.772,8.78,40152801092,25549,413.786,37620,31.989,553869,17.941,11.081,939,2445,2500,2364.01,2392.95,5290.93,12868426.38
11,3100,1498953600,2017-07-02,3100,196351,779501,304664,708707940676,6.2663124973869E+018,2431,0.988,4369087195,2.45,1.648,7.66,39889234300,22251,339.233,42763,33.573,522589,17.953,7.773,938,2392.95,2525,2344,2505.57,5868.42,14325437.84
12,3101,1499040000,2017-07-03,3101,253074,815687,389627,708659466230,6.2516598939333E+018,2518,0.97,7124752735,2.817,1.824,8.471,41318131632,28153,411.387,40219,34.06,569565,17.865,11.767,937,2505.57,2588,2469.21,2546.73,6415.08,16194039.36
13,3102,1499126400,2017-07-04,3102,255330,896947,418122,708659466230,5.5918719191803E+018,2588,1.021,5911422872,2.979,1.877,9.412,42473073712,23152,313.501,37621,33.573,599532,17.874,13.329,936,2546.73,2647.65,2546.73,2599.07,5910.37,15368057.98
14,3103,1499212800,2017-07-05,3103,236859,909457,366473,708659466230,5.5974652095482E+018,2566,0.957,6445551308,2.446,1.647,9.664,42118135974,27231,385.074,42764,34.06,542986,17.919,10.82,935,2599.07,2628.39,2536.01,2611.39,5112.93,13178106.46
15,3104,1499299200,2017-07-06,3104,224964,956222,359432,708659466230,5.2883106336445E+018,2589,0.987,5731662697,2.779,1.75,10.141,42499920543,25478,437.588,40220,35.157,535621,17.961,11.984,934,2611.39,2620,2575.34,2605.64,3526.91,9159101.8
16,3105,1499385600,2017-07-07,3105,243466,936977,412939,708659466230,4.8883990167582E+018,2542,1.087,6231715630,2.512,1.608,9.73,41730438843,25596,383.989,37622,33.512,659401,18.021,11.517,933,2605.64,2613.99,2470.2,2506.93,4947.35,12547221.04
17,3106,1499472000,2017-07-08,3106,220670,858812,331633,708659466230,5.4525905682133E+018,2513,1.039,6779925085,2.191,1.289,8.727,41269622121,30724,358.933,42765,31.014,540203,18.034,8.539,932,2506.93,2552.64,2470.2,2547.85,5179.87,12993981.57
18,3107,1499558400,2017-07-09,3107,187986,749534,279754,708659466230,5.6247584752837E+018,2540,0.85,6009212390,2.124,1.343,10.435,41713501524,31966,317.224,40221,31.44,456471,17.956,8.359,931,2547.85,2560.42,2494,2499,2606.31,6604799.42
19,3108,1499644800,2017-07-10,3108,251525,746575,379402,708659466230,5.9068664878935E+018,2455,1.109,8019183414,2.006,1.328,7.31,40320637503,31882,423.944,37623,36.619,653136,17.934,7.71,930,2499,2522.78,2265,2339.23,8784.97,21270026.85
20,3109,1499731200,2017-07-11,3109,265586,890025,426630,708659466230,6.4887902901054E+018,2341,0.855,6775659484,1.83,1.17,,38455258715,25512,404.204,42766,42.773,686794,17.928,8.763,929,2339.23,2404.18,2252.84,2302.2,9918.36,23105649.01
21,3110,1499817600,2017-07-12,3110,256961,881481,390631,708659466230,5.9800444008576E+018,2341,0.953,6153798018,2.025,1.17,8.136,38453156675,23948,389.688,41059,39.178,629432,17.891,9.138,928,2302.2,2416.51,2235,2373.85,7601,17789909.17
22,3111,1499904000,2017-07-13,3111,245738,855253,375415,708659466230,6.0812169373092E+018,2365,0.845,5945560117,2.028,1.288,9.172,38854877693,24195,386.651,37788,36.68,577485,17.907,9.705,927,2373.85,2417.08,2310,2336.4,6112.29,14453523.55
23,3112,1499990400,2017-07-14,3112,227764,900126,366403,761764941640,5.7321485222153E+018,2276,0.775,5917948525,2.152,1.37,10.36,37403791314,25983,461.409,36999,36.619,554616,17.862,11.035,926,2336.4,2352.7,2133.77,2216.18,7537.69,16925211.77
24,3113,1500076800,2017-07-15,3113,221724,974904,345815,804525194568,4.9837673824242E+018,2079,0.82,4068565109,3.548,1.13,11.339,34168634870,18350,365.403,35882,40.763,563899,17.93,19.255,925,2216.18,2218.89,1956.2,1972.07,11770.53,24266487.07
25,3114,1500163200,2017-07-16,3114,203002,840187,314702,804525194568,6.0814712374853E+018,1941,0.703,3946030956,1.596,0.957,8.834,31899934857,19438,352.334,35044,48.075,526161,17.947,7.578,924,1972.07,2042.87,1809,1907.24,13834.08,26465600.97
26,3115,1500249600,2017-07-17,3115,230167,945205,373816,804525194568,6.0238933281399E+018,2054,0.698,5454892218,1.767,1.014,9.73,33759628385,23700,369.24,42841,43.87,588715,17.886,9.675,923,1907.24,2225.7,1905,2217,12845.97,26519176.01
27,3116,1500336000,2017-07-18,3116,260410,959345,440571,804525194568,6.2507080535516E+018,2268,0.83,6015351066,1.956,1.104,8.727,37295345418,23100,374.176,38869,43.87,668897,17.914,9.823,922,2217,2400,2144.94,2310.8,14835.72,33828559.15
28,3117,1500422400,2017-07-19,3117,253619,939217,407556,804525194568,6.2248341988014E+018,2309,0.766,5789190103,1.835,1.142,9.664,37962040479,22826,360.674,40774,41.25,628744,17.946,9.772,921,2310.8,2400,2212.48,2255,9343.73,21555803.3
29,3118,1500508800,2017-07-20,3118,230037,929373,380778,804525194568,6.6425292160916E+018,2471,0.839,6031998087,2.463,1.224,8.889,40633363193,26222,540.892,42878,45.942,569655,17.971,10.177,920,2255,2934.44,2254.64,2854.88,16448.04,42983051.2
30,3119,1500595200,2017-07-21,3119,268289,976434,421979,804525194568,6.1926371055773E+018,2702,0.949,6112159498,2.515,1.34,9.351,44433539105,22782,426.937,41888,44.967,617962,18.04,11.489,919,2854.88,2870,2614.7,2670,12116.76,33098894.26
31,3120,1500681600,2017-07-22,3120,223198,925671,338462,804525194568,6.1605646152355E+018,2766,0.975,4954630573,2.12,1.313,9,45501010111,22198,410.76,36424,38.752,560329,17.999,7.883,918,2670,2875,2651.96,2831.13,8240.36,22978975.91
32,3121,1500768000,2017-07-23,3121,180859,683269,275765,804525194568,6.7994116542993E+018,2760,0.923,4410335925,1.913,1.127,8.372,45397010787,24385,394.437,36108,38.752,452365,17.944,5.515,917,2831.13,2855,2672.26,2761.2,8011.24,22227798.02
33,3122,1500854400,2017-07-24,3122,239894,894341,370830,804525194568,7.0414071698058E+018,2745,0.932,6563659755,1.91,1.098,8.09,45160517769,27361,417.207,44080,39.239,598606,17.953,6.985,916,2761.2,2809.38,2720,2755.9,5220.64,14413279.33
34,3123,1500940800,2017-07-25,3123,243888,934171,400265,804525194568,6.3517257499938E+018,2625,0.834,19250433843,1.813,1.133,9.73,43188746009,78931,405.643,44885,40.824,573931,17.89,8.352,915,2755.9,2775,2440.21,2556,10784.84,27850414.56
35,3124,1501027200,2017-07-26,3124,237706,967256,365077,804525194568,5.8941572451704E+018,2503,0.852,9269886262,1.764,1.023,9.796,41195885367,38997,384.611,47880,40.275,556061,17.625,8.36,914,2556,2617.01,2414.61,2525,9939.68,24809640.58
36,3125,1501113600,2017-07-27,3125,225215,923524,347631,836351931636,6.2572077723877E+018,2571,0.859,6373271117,1.898,0.96,9.351,42307778181,28299,400.287,49367,39.178,578589,17.606,7.956,913,2525,2696,2511.17,2675.39,6862.25,17732572.18
