Unnamed: 0,Unnamed: 0_x,timestamp,datetime,index,ethereum-transactions,size-eth,sentbyaddress-eth,ethereum-difficulty,ethereum-hashrate,ethereum-price,ethereum-mining_profitability,sentinusd-eth,ethereum-transactionfees,ethereum-median_transaction_fee,ethereum-confirmationtime,ethereum-marketcap,transactionvalue-eth,mediantransactionvalue-eth,tweets-eth,google_trends-eth,activeaddresses-eth,top100cap-eth,fee_to_reward-eth,Unnamed: 0_y,Open,High,Low,Close,Volume ETH,Volume USD
0,691,1498003200,2017-06-21,691,221289,6195,90089,874308762317610,54098240797200,332.819,0.167,1921728111,1.374,0.419,0.294,30847231354,8684,334.861,13789,25.613,157201,,3.168,ETHUSD,348.5,353.12,288,324.48,102585.51,32417511.01
1,692,1498089600,2017-06-22,692,284225,8691,89360,872419319204180,54738964742491,323.786,0.161,2731970142,0.78,0.34,0.291,30018614957,9612,120.106,12631,25.008,206732,,2.426,ETHUSD,324.48,330,307.42,321.6,54126.39,17387776.64
2,693,1498176000,2017-06-23,693,276012,9123,82559,881532422539620,54336704373890,327.726,0.16,3330750492,0.558,0.344,0.294,30392440565,12067,98.019,14903,20.483,202672,,1.705,ETHUSD,321.6,330.13,316.44,325.5,32306.69,10544897.48
3,694,1498262400,2017-06-24,694,250570,8935,77939,888679962204642,55693605003757,320.166,0.156,3627575265,0.818,0.336,0.292,29699835293,14477,99.252,17921,16.321,180583,,2.072,ETHUSD,325.5,329.79,296,302.15,38567.49,12042703
4,695,1498348800,2017-06-25,695,231135,8979,68879,904653518657220,56393524710369,297.108,0.141,1207162076,0.529,0.25,0.292,27568736913,5223,61.426,19615,19.916,155887,,1.481,ETHUSD,302.15,308.23,250.02,277,111542.6,31008098.78
5,696,1498435200,2017-06-26,696,316788,9544,102449,923853229184680,58417112349132,260.585,0.123,2759723329,0.72,0.204,0.29,24186686634,8712,132.76,16773,27.11,237497,,1.861,ETHUSD,277,287,203,254.49,233443.01,56562067.2
6,697,1498521600,2017-06-27,697,252995,7911,82094,930359199332390,58320978141848,244.551,0.113,2855159102,0.321,0.19,0.288,22704977700,11285,54.773,15407,22.623,182501,,1.195,ETHUSD,254.49,284,208.75,283.66,174778.25,42459823.91
7,698,1498608000,2017-06-28,698,274241,10005,72177,950061337460530,59938051087500,289.259,0.132,3051771161,0.816,0.282,0.29,26863541743,11128,47.199,15370,19.674,188476,,2.008,ETHUSD,283.66,324.5,260,316.2,167137.57,48790859.78
8,699,1498694400,2017-06-29,699,263791,9460,77162,962749040901500,61540789098593,305.994,0.137,3417165510,0.541,0.225,0.286,28425917058,12954,54.791,14876,16.282,182877,,1.631,ETHUSD,316.2,323.9,285,293,101718.59,30802239.84
9,700,1498780800,2017-06-30,700,252652,8800,75721,972009000387640,61649495641450,291.897,0.129,2907912862,0.407,0.134,0.286,27124206784,11510,58.487,11938,13.533,177613,,1.236,ETHUSD,293,305,267.5,280,91097.72,26175265.73
10,701,1498867200,2017-07-01,701,240465,8106,72178,992636469502800,62565703649500,268.082,0.116,2422848007,0.352,0.123,0.287,24918415863,10076,53.469,17555,12.474,170690,,1.125,ETHUSD,280,281.83,250.56,256,109886.07,29086079.27
11,702,1498953600,2017-07-02,702,248617,8503,70247,1002208383109500,63099816232763,266.799,0.114,1888814758,0.341,0.118,0.286,24806296294,7597,33.962,17922,11.979,172941,,1.132,ETHUSD,256,294.75,250,284,103395.54,28120289.53
12,703,1499040000,2017-07-03,703,302032,10143,87207,1012941506663000,65002338599111,278.421,0.118,6873441390,0.393,0.145,0.285,25894448752,22757,32.218,19616,12.799,201259,,1.478,ETHUSD,284,286.51,271,276.1,55459.2,15429458.38
