Unnamed: 0,Unnamed: 0_x,timestamp,datetime,index,litecoin-transactions,size-ltc,sentbyaddress-ltc,litecoin-difficulty,litecoin-hashrate,litecoin-price,litecoin-mining_profitability,sentinusd-ltc,litecoin-transactionfees,litecoin-median_transaction_fee,litecoin-confirmationtime,litecoin-marketcap,transactionvalue-ltc,mediantransactionvalue-ltc,tweets-ltc,google_trends-ltc,activeaddresses-ltc,top100cap-ltc,fee_to_reward-ltc,Unnamed: 0_y,Open,High,Low,Close,Volume LTC,Volume USD
0,692,1498003200,2017-06-21,692,19453,19328,31689,271188,7703569018297,44.313,74.563,586437860,0.199,0.018,2.796,2288598721,30146,865.927,945,2.079,49024,52.819,0.69,LTCUSD,45.1,46.6,41.05,43.73,59289.63,2606008.1
1,693,1498089600,2017-06-22,693,19403,17962,29838,271188,7569240190866,45.479,87.468,1901693579,0.253,0.0387,2.491,2349371371,98010,726.366,1257,1.882,49452,52.412,0.762,LTCUSD,43.73,47.87,42.46,46.07,31332.96,1428277.14
2,694,1498176000,2017-06-23,694,16713,15685,28569,271188,7267626685199,45.96,82.333,1716115725,0.259,0.0207,2.785,2374925478,102681,505.509,1833,1.712,36006,52.299,0.745,LTCUSD,46.07,46.97,44.72,45.18,17061.61,782179.3
3,695,1498262400,2017-06-24,695,14472,13822,26556,261416,7098005407105,44.193,87.874,365039142,0.271,0.0169,2.567,2284176682,25224,489.101,1136,1.59,40687,52.214,0.653,LTCUSD,45.18,45.68,40.75,42.39,27463.65,1178492.39
4,696,1498348800,2017-06-25,696,14998,14009,25619,255206,7264587764294,42.387,84.448,872538133,0.458,0.0345,2.517,2191390671,58177,589.284,1008,1.463,37093,52.284,1.164,LTCUSD,42.39,43.3,37.37,40.34,42613.3,1743639.02
5,697,1498435200,2017-06-26,697,18802,18980,31207,255206,7119705287481,38.726,76.083,853850836,0.484,0.0387,2.613,2002678745,45413,714.274,1054,1.623,42802,52.246,1.727,LTCUSD,40.34,41.54,33,37.9,53405.41,1967593.6
6,698,1498521600,2017-06-27,698,17785,16989,29752,255206,6687114353036,37.229,72.356,553847050,0.248,0.0372,2.796,1925770162,31141,584.757,1130,1.397,42089,52.527,0.939,LTCUSD,37.9,39.8,33.5,39.33,43056.19,1585340.15
7,699,1498608000,2017-06-28,699,16077,14165,27434,243970,6750189606429,40.394,88.632,428477772,0.171,0.0151,2.441,2090010746,26652,525.024,1039,1.463,40171,52.407,0.477,LTCUSD,39.33,43.75,37.51,41.9,51862.16,2120089.29
8,700,1498694400,2017-06-29,700,14234,10568,25244,243262,7372424930698,40.893,88.214,326784299,0.161,0.0153,2.271,2116431252,22958,550.39,1031,1.033,34298,52.268,0.368,LTCUSD,41.9,42.35,39.28,40.06,23873.07,976567.46
9,701,1498780800,2017-06-30,701,13569,11688,24356,243262,7312380788184,40.22,78.956,272823151,0.175,0.015,2.517,2082271658,20106,472.754,1137,1.087,33014,52.231,0.428,LTCUSD,40.06,41.2,38.76,39.05,19664.26,786817.39
10,702,1498867200,2017-07-01,702,12068,11071,22333,248434,7178260720797,38.705,75.947,281539496,0.119,0.0205,2.562,2004376363,23329,460.683,1009,0.846,31490,52.351,0.275,LTCUSD,39.05,39.55,36.5,37.93,21148.24,802394.05
11,703,1498953600,2017-07-02,703,13600,15543,28394,252730,6837767297629,38.864,78.081,320953771,0.12,0.0176,2.628,2013155888,23600,759.453,1055,0.955,38719,52.336,0.317,LTCUSD,37.93,42,36.45,41.5,29111.94,1153378.21
12,704,1499040000,2017-07-03,704,19840,18642,32245,252730,7035001749664,44.672,92.279,708997947,0.25,0.0168,2.496,2314624884,35736,911.948,1131,1.505,43008,52.162,0.787,LTCUSD,41.5,47.7,40.48,45.44,86833.77,3916280.3
13,705,1499126400,2017-07-04,705,22723,17533,35313,252662,7693152034280,50.295,98.591,1062574055,0.246,0.0188,2.404,2606684291,46762,1006,1040,2.055,44411,52.006,0.755,LTCUSD,45.44,55,45.33,55,161490.94,8223619.68
14,706,1499212800,2017-07-05,706,22501,16633,34550,250000,7783396911810,52.147,109.063,1351446639,0.239,0.0195,2.226,2703474563,60062,1373,1032,2.039,44746,52.115,0.653,LTCUSD,55,56.77,49.14,53.2,72108.86,3812460.85
15,707,1499299200,2017-07-06,707,18221,13771,29828,250000,7813619458445,50.905,103.328,718246920,0.229,0.019,2.282,2639915959,39419,860.537,1138,1.815,38790,51.556,0.535,LTCUSD,53.2,53.26,49.51,51.01,41446.75,2119266.71
16,708,1499385600,2017-07-07,708,19363,14466,31934,250000,8023146152159,47.798,94.379,860479032,0.172,0.025,2.282,2479546239,44439,1029,1010,1.27,39846,51.743,0.453,LTCUSD,51.01,51.6,44.48,46.19,48514.23,2300807.62
